request_id,status,error,e2e_s,ttft_s,mean_itl_s,completion_tokens,concurrency
1000000,ok,,1.8943198202177882,0.04978793626651168,0.014872222845893233,128,1
1000001,ok,,1.8938849777914584,0.04897149279713631,0.01487559253244751,128,1
1000002,ok,,1.9019402232952416,0.058093742933124304,0.01486726314009678,128,1
1000003,ok,,1.8896697689779103,0.04614230105653405,0.014864506106072616,128,1
1000004,ok,,1.8921258100308478,0.04850588086992502,0.014865664663844771,128,1
1000005,ok,,1.8902302007190883,0.04664693307131529,0.0148654205409149,128,1
1000006,ok,,1.892035249620676,0.04767388757318258,0.01487105201944829,128,1
1000007,ok,,1.8960634367540479,0.050344828981906176,0.0148823531119213,128,1
1000008,ok,,1.8900019098073244,0.04632730083540082,0.01486640538073956,128,1
1000009,ok,,1.8899619299918413,0.045261407271027565,0.014874606224287662,128,1
1000010,ok,,1.8893358460627496,0.04518272588029504,0.014869698218160098,128,1
1000011,ok,,1.8899563089944422,0.04529424710199237,0.014873073796831792,128,1
1000012,ok,,1.8907576920464635,0.04585680877789855,0.014875963645716828,128,1
1000013,ok,,1.89256387995556,0.04826785018667579,0.014871322895370184,128,1
1000014,ok,,1.8905514907091856,0.046081659849733114,0.014871396041745621,128,1
1000015,ok,,1.8931434419937432,0.048135948833078146,0.014876738960494197,128,1
1000016,ok,,1.892014336772263,0.04633018095046282,0.01488235809524814,128,1
1000017,ok,,1.8896058769896626,0.045983090065419674,0.014865928355814708,128,1
1000018,ok,,1.8878610283136368,0.04270805511623621,0.014877997759369111,128,1
1000019,ok,,1.8912718831561506,0.046508891973644495,0.01487442443612963,128,1
1000020,ok,,1.8932813717983663,0.0462454310618341,0.015014165365023584,128,1
1000021,ok,,1.89217529585585,0.04833739995956421,0.014867593185044825,128,1
1000022,ok,,1.8889311216771603,0.04492950486019254,0.014989231186881056,128,1
1000023,ok,,1.8881287490949035,0.04318622779101133,0.01487616007591808,128,1
1000024,ok,,1.889015933033079,0.043643730226904154,0.014879607505375338,128,1
1000025,ok,,1.8939982340671122,0.04934545420110226,0.01562991405253188,128,1
1000026,ok,,1.890171797014773,0.04598016990348697,0.014991390783854617,128,1
