request_id,status,error,e2e_s,ttft_s,mean_itl_s,completion_tokens,concurrency
64000000,ok,,2.9989547366276383,0.27644080854952335,0.02211892634357621,128,64
64000001,ok,,2.9613840440288186,0.19420791184529662,0.022300703653825388,128,64
64000002,ok,,2.994139054790139,0.274507749825716,0.021930590598663736,128,64
64000003,ok,,3.088028382975608,0.2796557927504182,0.02280076108191435,128,64
64000004,ok,,2.9970086980611086,0.2729358938522637,0.021962790896425083,128,64
64000005,ok,,3.0812957040034235,0.27695236075669527,0.02260910216794019,128,64
64000006,ok,,3.0873151402920485,0.27817753702402115,0.022614816387724734,128,64
64000007,ok,,2.9922378370538354,0.26854140404611826,0.021954390216588734,128,64
64000008,ok,,3.079932098276913,0.2738840579986572,0.022610898388759983,128,64
64000009,ok,,3.0804277500137687,0.2750421832315624,0.022608759178359424,128,64
64000010,ok,,3.083647114224732,0.2711736559867859,0.02267887860521554,128,64
64000011,ok,,3.080078017897904,0.27005027094855905,0.022658974645779498,128,64
64000012,ok,,3.077571247238666,0.26954491902142763,0.022622089081954573,128,64
64000013,ok,,3.0746544147841632,0.2692917180247605,0.022603936016469473,128,64
64000014,ok,,3.0749189858324826,0.2694107280112803,0.022590689838022714,128,64
64000015,ok,,3.072815336752683,0.2676381408236921,0.022603623677916344,128,64
64000016,ok,,5.848570465110242,3.0700196749530733,0.022394291797442543,128,64
64000017,ok,,5.88554609566927,3.159504123032093,0.0219625664589506,128,64
64000018,ok,,5.886077997740358,3.1574296238832176,0.02197849669403607,128,64
64000019,ok,,5.879628479946405,3.1563370591029525,0.021959242741427114,128,64
64000020,ok,,5.880909386090934,3.155060533899814,0.021979833145685974,128,64
64000021,ok,,5.976948001887649,3.16257019713521,0.02266412239987403,128,64
64000022,ok,,5.963059661909938,3.1578060048632324,0.022614619289074215,128,64
64000023,ok,,5.96349712414667,3.1570455920882523,0.022630108790772575,128,64
64000024,ok,,5.967640512157232,3.1554679651744664,0.02263368799861881,128,64
64000025,ok,,5.964781229849905,3.1555586559697986,0.02264663555674375,128,64
64000026,ok,,5.961586396209896,3.1548579428344965,0.022620383912937775,128,64
64000027,ok,,5.96683308808133,3.154143230058253,0.02266619999277135,128,64
64000028,ok,,5.963567073922604,3.1504114526323974,0.02266612548696538,128,64
64000029,ok,,5.959865757729858,3.149864910636097,0.0226585537593271,128,64
64000030,ok,,5.957184336148202,3.1505523240193725,0.022624611753159232,128,64
64000031,ok,,5.949774624314159,3.146388666238636,0.022605704571751338,128,64
64000032,ok,,8.725296551827341,5.952255114912987,0.02234831765564459,128,64
64000033,ok,,8.761889019981027,6.037091752979904,0.021955471027702574,128,64
64000034,ok,,8.762943224981427,6.036334180273116,0.021957633851636803,128,64
64000035,ok,,8.759474979247898,6.033597137313336,0.02195226423998153,128,64
64000036,ok,,8.759201727807522,6.032098690979183,0.02195024648455963,128,64
64000037,ok,,8.854573411867023,6.041226790752262,0.02285864449492315,128,64
64000038,ok,,8.860962909646332,6.039052120875567,0.02273857152284754,128,64
64000039,ok,,8.850385554134846,6.036138369236141,0.022678873272642733,128,64
64000040,ok,,8.84962299093604,6.036991382949054,0.022662751188862226,128,64
64000041,ok,,8.8432636433281,6.032740064430982,0.022663585544984426,128,64
64000042,ok,,8.854059560224414,6.034707363229245,0.022715978031497327,128,64
64000043,ok,,8.848604145925492,6.031839421018958,0.022684728460116012,128,64
64000044,ok,,8.843980175908655,6.030287472996861,0.022673730836099675,128,64
64000045,ok,,8.83855119207874,6.027731061913073,0.022665741767043307,128,64
64000046,ok,,8.84466698905453,6.026949538849294,0.02271205753148083,128,64
64000047,ok,,8.840910731814802,6.027179180178791,0.022672746142733,128,64
64000048,ok,,11.612844593822956,8.835625790059566,0.02238113689236343,128,64
64000049,ok,,11.65080183884129,8.922915369272232,0.021965189690461323,128,64
64000050,ok,,11.64313028473407,8.920891659799963,0.02195076205046667,128,64
64000051,ok,,11.646868742071092,8.920406518038362,0.021972908998929685,128,64
64000052,ok,,11.644859523046762,8.919039092026651,0.021955566101467178,128,64
64000053,ok,,11.74897074420005,8.926890656352043,0.022741239829619807,128,64
64000054,ok,,11.74697087612003,8.925277948845178,0.022733789155139558,128,64
64000055,ok,,11.74973629694432,8.922007213812321,0.022782365412210986,128,64
64000056,ok,,11.744994007050991,8.920195356942713,0.022762560248074513,128,64
64000057,ok,,11.747526688035578,8.917735846247524,0.022806366725314046,128,64
