timestamp_utc	http_code	total_seconds
2026-09-12T16:08:56.855Z	200	0.001952
2026-09-12T16:08:58.157Z	200	0.002024
2026-09-12T16:08:59.476Z	200	0.002085
2026-09-12T16:09:00.803Z	200	0.001947
2026-09-12T16:09:02.136Z	000	0.023223
2026-09-12T16:09:03.466Z	000	0.000474
2026-09-12T16:09:04.770Z	000	0.000429
2026-09-12T16:09:06.082Z	000	0.000469
2026-09-12T16:09:07.387Z	000	0.000332
2026-09-12T16:09:08.705Z	000	0.000391
2026-09-12T16:09:10.038Z	000	0.000413
2026-09-12T16:09:11.360Z	000	0.000495
2026-09-12T16:09:12.657Z	000	0.000437
2026-09-12T16:09:13.982Z	000	0.000425
2026-09-12T16:09:15.303Z	000	0.000386
2026-09-12T16:09:16.608Z	000	0.000412
2026-09-12T16:09:17.916Z	000	0.000471
2026-09-12T16:09:19.229Z	000	0.000463
2026-09-12T16:09:20.545Z	000	0.000455
2026-09-12T16:09:21.863Z	000	0.000471
2026-09-12T16:09:23.168Z	000	0.000380
2026-09-12T16:09:24.500Z	000	0.000370
2026-09-12T16:09:25.800Z	000	0.000464
2026-09-12T16:09:27.103Z	000	0.000405
2026-09-12T16:09:28.421Z	000	0.000450
2026-09-12T16:09:29.741Z	000	0.000482
2026-09-12T16:09:31.038Z	000	0.000420
2026-09-12T16:09:32.356Z	000	0.000386
2026-09-12T16:09:33.670Z	000	0.000409
2026-09-12T16:09:34.971Z	000	0.000382
2026-09-12T16:09:36.266Z	000	0.000386
2026-09-12T16:09:37.561Z	000	0.000411
2026-09-12T16:09:38.856Z	000	0.000383
2026-09-12T16:09:40.170Z	000	0.000398
2026-09-12T16:09:41.485Z	000	0.000414
2026-09-12T16:09:42.802Z	000	0.000410
2026-09-12T16:09:44.121Z	000	0.000444
2026-09-12T16:09:45.424Z	000	0.000393
2026-09-12T16:09:46.748Z	000	0.000396
2026-09-12T16:09:48.068Z	000	0.000477
2026-09-12T16:09:49.373Z	000	0.000442
2026-09-12T16:09:50.695Z	000	0.000428
2026-09-12T16:09:51.985Z	000	0.000383
2026-09-12T16:09:53.313Z	000	0.000396
2026-09-12T16:09:54.623Z	000	0.000441
2026-09-12T16:09:55.939Z	000	0.000427
2026-09-12T16:09:57.240Z	000	0.000372
2026-09-12T16:09:58.532Z	000	0.000438
2026-09-12T16:09:59.832Z	000	0.000418
2026-09-12T16:10:01.153Z	000	0.000483
2026-09-12T16:10:02.487Z	000	0.000425
2026-09-12T16:10:03.800Z	000	0.000498
2026-09-12T16:10:05.126Z	000	0.000466
2026-09-12T16:10:06.463Z	000	0.000405
2026-09-12T16:10:07.782Z	000	0.000416
2026-09-12T16:10:09.091Z	000	0.000413
2026-09-12T16:10:10.386Z	000	0.000436
2026-09-12T16:10:11.688Z	000	0.000404
2026-09-12T16:10:12.990Z	000	0.000383
2026-09-12T16:10:14.291Z	000	0.000446
2026-09-12T16:10:15.591Z	000	0.000386
2026-09-12T16:10:16.911Z	000	0.000421
2026-09-12T16:10:18.218Z	000	0.000454
2026-09-12T16:10:19.545Z	000	0.000368
2026-09-12T16:10:20.858Z	000	0.000442
2026-09-12T16:10:22.167Z	000	0.000388
2026-09-12T16:10:23.492Z	000	0.000378
2026-09-12T16:10:24.816Z	000	0.000495
2026-09-12T16:10:26.151Z	000	0.000420
2026-09-12T16:10:27.449Z	000	0.000359
2026-09-12T16:10:28.780Z	000	0.000687
2026-09-12T16:10:30.081Z	000	0.000394
2026-09-12T16:10:31.381Z	000	0.000462
2026-09-12T16:10:32.707Z	000	0.000418
2026-09-12T16:10:34.030Z	000	0.000399
2026-09-12T16:10:35.320Z	000	0.000578
2026-09-12T16:10:36.615Z	000	0.000500
2026-09-12T16:10:37.907Z	000	0.000447
2026-09-12T16:10:39.215Z	000	0.000428
2026-09-12T16:10:40.534Z	000	0.000467
2026-09-12T16:10:41.834Z	000	0.000432
2026-09-12T16:10:43.164Z	000	0.000478
2026-09-12T16:10:44.465Z	000	0.000442
2026-09-12T16:10:45.754Z	000	0.000391
2026-09-12T16:10:47.074Z	000	0.000391
2026-09-12T16:10:48.402Z	000	0.000366
2026-09-12T16:10:49.711Z	000	0.000478
2026-09-12T16:10:51.020Z	000	0.000480
2026-09-12T16:10:52.332Z	000	0.000403
2026-09-12T16:10:53.634Z	000	0.000502
2026-09-12T16:10:54.929Z	000	0.000462
2026-09-12T16:10:56.234Z	000	0.000409
2026-09-12T16:10:57.558Z	000	0.000464
2026-09-12T16:10:58.868Z	000	0.000469
2026-09-12T16:11:00.174Z	000	0.000375
2026-09-12T16:11:01.496Z	000	0.000484
2026-09-12T16:11:02.826Z	000	0.000391
2026-09-12T16:11:04.117Z	000	0.000467
2026-09-12T16:11:05.449Z	000	0.000504
2026-09-12T16:11:06.752Z	000	0.000395
2026-09-12T16:11:08.046Z	000	0.000448
2026-09-12T16:11:09.351Z	000	0.000566
2026-09-12T16:11:10.651Z	000	0.000373
2026-09-12T16:11:11.954Z	000	0.000462
2026-09-12T16:11:13.260Z	000	0.000391
2026-09-12T16:11:14.571Z	000	0.000486
2026-09-12T16:11:15.868Z	000	0.000409
2026-09-12T16:11:17.178Z	000	0.000402
2026-09-12T16:11:18.486Z	000	0.000393
2026-09-12T16:11:19.794Z	000	0.000425
2026-09-12T16:11:21.105Z	000	0.000495
2026-09-12T16:11:22.403Z	000	0.000432
2026-09-12T16:11:23.718Z	000	0.000461
2026-09-12T16:11:25.020Z	000	0.000375
2026-09-12T16:11:26.328Z	000	0.000350
2026-09-12T16:11:27.654Z	000	0.000407
2026-09-12T16:11:28.956Z	000	0.000455
2026-09-12T16:11:30.259Z	000	0.000360
2026-09-12T16:11:31.574Z	000	0.000479
2026-09-12T16:11:32.886Z	000	0.000543
2026-09-12T16:11:34.222Z	200	0.001888
2026-09-12T16:11:35.526Z	200	0.001962
2026-09-12T16:11:36.827Z	200	0.001970
2026-09-12T16:11:38.144Z	200	0.001833
2026-09-12T16:11:39.462Z	200	0.001822
# old_pod=vllm-94f6f48b-jd7db deleted_at=2026-09-12T16:09:01.857Z new_pod=vllm-94f6f48b-kdqjp ready_at=2026-09-12T16:11:35.359Z
