request_id,traffic_class,fairness_id,objective,max_tokens,scheduled_at_s,sent_at_s,launch_lag_s,http_status,outcome,drop_reason,retry_after,ttft_s,e2e_s,mean_itl_s,completion_tokens,error
31,batch,batch-a,best-effort-traffic,128,2.5833333333333335,2.5837052357383072,0.00037190240497375626,200,completed,,,1.351631237193942,4.174260010011494,0.02275672655612711,128,
32,interactive,tenant-a,premium-traffic,64,2.6666666666666665,2.6673327777534723,0.0006661110868058095,200,completed,,,0.49562762305140495,1.9249704242683947,0.024220968320397503,64,
33,batch,batch-b,best-effort-traffic,128,2.75,2.752716790884733,0.0027167908847332,429,rejected,rejected-saturated,,,0.006669155787676573,,0,inference error: ResourceExhausted - request rejected pre-queue: queue at capacity
34,batch,batch-a,best-effort-traffic,128,2.8333333333333335,2.8336439300328493,0.00031059669951583047,429,rejected,rejected-saturated,,,0.003980414010584354,,0,inference error: ResourceExhausted - request rejected pre-queue: queue at capacity
35,interactive,tenant-b,premium-traffic,64,2.9166666666666665,2.9170852107927203,0.0004185441260537992,200,completed,,,0.24913676315918565,1.676461691968143,0.024178101152371047,64,
36,batch,batch-b,best-effort-traffic,128,3.0,3.0027425037696958,0.002742503769695759,429,rejected,rejected-saturated,,,0.013231292832642794,,0,inference error: ResourceExhausted - request rejected pre-queue: queue at capacity
37,interactive,tenant-a,premium-traffic,64,3.0833333333333335,3.0838422127999365,0.0005088794666030516,200,completed,,,0.1897522248327732,1.6616503181867301,0.024943385139044563,64,
38,batch,batch-a,best-effort-traffic,128,3.1666666666666665,3.1675935150124133,0.0009268483457467447,429,rejected,rejected-saturated,,,0.004388133995234966,,0,inference error: ResourceExhausted - request rejected pre-queue: queue at capacity
39,batch,batch-b,best-effort-traffic,128,3.25,3.2520429166033864,0.002042916603386402,429,rejected,rejected-saturated,,,0.005495656281709671,,0,inference error: ResourceExhausted - request rejected pre-queue: queue at capacity
40,interactive,tenant-a,premium-traffic,64,3.3333333333333335,3.3336499365977943,0.000316603264460813,200,completed,,,0.17715031234547496,1.6056138323619962,0.02420785711383668,64,
