request_id,traffic_class,fairness_id,objective,max_tokens,scheduled_at_s,sent_at_s,launch_lag_s,http_status,outcome,drop_reason,retry_after,ttft_s,e2e_s,mean_itl_s,completion_tokens,error
32,standard,noisy-tenant,standard-traffic,96,2.6666666666666665,2.667008063290268,0.0003413966236016641,200,completed,,,1.529409784823656,3.611677333712578,0.022386163312901733,96,
33,standard,noisy-tenant,standard-traffic,96,2.75,2.7503331219777465,0.00033312197774648666,200,completed,,,1.785622759256512,3.8641116633079946,0.022581011011346203,96,
34,standard,noisy-tenant,standard-traffic,96,2.8333333333333335,2.834054572042078,0.0007212387087442984,200,completed,,,1.8476403881795704,3.9333674390800297,0.02265803738112521,96,
35,standard,quiet-tenant,standard-traffic,96,2.9166666666666665,2.9183602021075785,0.0016935354409119974,200,completed,,,0.1343802181072533,2.2092333720065653,0.022301761964235896,96,
36,standard,noisy-tenant,standard-traffic,96,3.0,3.001764751970768,0.0017647519707679749,200,completed,,,1.8170609781518579,3.8921162988990545,0.022550422171859638,96,
37,standard,noisy-tenant,standard-traffic,96,3.0833333333333335,3.0837102099321783,0.00037687659884477753,200,completed,,,1.7295870650559664,3.78598886821419,0.02284596213656995,96,
38,standard,noisy-tenant,standard-traffic,96,3.1666666666666665,3.1674616490490735,0.0007949823824069391,200,completed,,,1.7582320529036224,3.844913624227047,0.022926603198297077,96,
39,standard,noisy-tenant,standard-traffic,96,3.25,3.250308338087052,0.00030833808705210686,200,completed,,,1.7904577730223536,3.8681637961417437,0.022821010571423467,96,
40,standard,noisy-tenant,standard-traffic,96,3.3333333333333335,3.3337545380927622,0.00042120475942875046,200,completed,,,1.793477735016495,3.8752541509456933,0.022873427319739546,96,
41,standard,noisy-tenant,standard-traffic,96,3.4166666666666665,3.4170592669397593,0.0003926002730927358,200,completed,,,1.778947152197361,3.865361912176013,0.022911989217071414,96,
42,standard,noisy-tenant,standard-traffic,96,3.5,3.5003316760994494,0.00033167609944939613,200,completed,,,1.7823216551914811,3.8684560148976743,0.023974441607407797,96,
43,standard,noisy-tenant,standard-traffic,96,3.5833333333333335,3.5841428260318935,0.0008094926985600104,200,completed,,,1.8099766112864017,3.888832713942975,0.022841362548725947,96,
44,standard,noisy-tenant,standard-traffic,96,3.6666666666666665,3.669855637010187,0.003188970343520392,200,completed,,,1.8138635051436722,3.900655284989625,0.02267529695477013,96,
45,standard,quiet-tenant,standard-traffic,96,3.75,3.7508808448910713,0.0008808448910713196,200,completed,,,0.6881121140904725,2.7723314543254673,0.022407506021761125,96,
46,standard,noisy-tenant,standard-traffic,96,3.8333333333333335,3.8341738139279187,0.0008404805945851912,200,completed,,,1.8048036051914096,3.883982098195702,0.022831491337945826,96,
47,standard,noisy-tenant,standard-traffic,96,3.9166666666666665,3.9194475249387324,0.002780858272065867,200,completed,,,2.4231070620007813,4.512088223360479,0.022943664838529224,96,
48,standard,noisy-tenant,standard-traffic,96,4.0,4.00137053290382,0.0013705329038202763,200,completed,,,2.56507116695866,4.642246246337891,0.02281421118999248,96,
49,standard,noisy-tenant,standard-traffic,96,4.083333333333333,4.086584093980491,0.003250760647158124,200,completed,,,2.369628621265292,4.4450158891268075,0.02305712152996825,96,
50,standard,noisy-tenant,standard-traffic,96,4.166666666666667,4.167178931180388,0.0005122645137207726,429,rejected,rejected-saturated,,,0.005165534093976021,,0,inference error: ResourceExhausted - request rejected pre-queue: queue at capacity
51,standard,noisy-tenant,standard-traffic,96,4.25,4.250329030212015,0.00032903021201491356,429,rejected,rejected-saturated,,,0.004218413960188627,,0,inference error: ResourceExhausted - request rejected pre-queue: queue at capacity
52,standard,noisy-tenant,standard-traffic,96,4.333333333333333,4.333632038906217,0.0002987055728835841,429,rejected,rejected-saturated,,,0.003986744210124016,,0,inference error: ResourceExhausted - request rejected pre-queue: queue at capacity
53,standard,noisy-tenant,standard-traffic,96,4.416666666666667,4.417027487885207,0.00036082121853997506,200,completed,,,2.2837401092983782,4.358054276090115,0.022789662811332025,96,
54,standard,noisy-tenant,standard-traffic,96,4.5,4.504385181237012,0.004385181237012148,200,completed,,,2.322260715998709,4.414241987746209,0.02297152868973521,96,
55,standard,quiet-tenant,standard-traffic,96,4.583333333333333,4.583647186867893,0.0003138535345597049,429,rejected,rejected-saturated,,,0.00481725437566638,,0,inference error: ResourceExhausted - request rejected pre-queue: queue at capacity
56,standard,noisy-tenant,standard-traffic,96,4.666666666666667,4.667081946041435,0.00041527937476804055,200,completed,,,2.309665833134204,4.352383318822831,0.02243925928353117,96,
57,standard,noisy-tenant,standard-traffic,96,4.75,4.750345984939486,0.00034598493948578835,200,completed,,,2.225863473955542,4.299819649197161,0.022525640903040767,96,
58,standard,noisy-tenant,standard-traffic,96,4.833333333333333,4.833710134029388,0.00037680069605539046,200,completed,,,2.261958498042077,4.348597784992307,0.02267045843536439,96,
59,standard,noisy-tenant,standard-traffic,96,4.916666666666667,4.917024143971503,0.0003574773048358182,200,completed,,,2.2469627233222127,4.3228530790656805,0.02255700353998691,96,
60,standard,noisy-tenant,standard-traffic,96,5.0,5.000312522985041,0.0003125229850411415,200,completed,,,2.3637481331825256,4.44193118205294,0.02258082606283057,96,
61,standard,noisy-tenant,standard-traffic,96,5.083333333333333,5.083633902017027,0.0003005686836941024,200,completed,,,2.3457051762379706,4.429977921303362,0.022409055201757337,96,
62,standard,noisy-tenant,standard-traffic,96,5.166666666666667,5.167156421113759,0.0004897544470923165,200,completed,,,2.371434120927006,4.452542702201754,0.022605016741537205,96,
63,standard,noisy-tenant,standard-traffic,96,5.25,5.250435539986938,0.00043553998693823814,200,completed,,,2.378010207321495,4.471784830093384,0.02275061349728671,96,
64,standard,noisy-tenant,standard-traffic,96,5.333333333333333,5.333747819066048,0.0004144857327146312,200,completed,,,2.360015599988401,4.4566255351528525,0.02278618744837687,96,
65,standard,quiet-tenant,standard-traffic,96,5.416666666666667,5.416990488301963,0.00032382163529565133,200,completed,,,0.13206923566758633,2.2095131068490446,0.02282654220790981,96,
66,standard,noisy-tenant,standard-traffic,96,5.5,5.500582837965339,0.0005828379653394222,200,completed,,,2.2820345549844205,4.374956767074764,0.022744976328280958,96,
67,standard,noisy-tenant,standard-traffic,96,5.583333333333333,5.584012077189982,0.0006787438566489001,200,completed,,,2.9916948578320444,5.092960255686194,0.0225910526570133,96,
68,standard,noisy-tenant,standard-traffic,96,5.666666666666667,5.667201085947454,0.000534419280787013,429,rejected,rejected-saturated,,,0.003513564355671406,,0,inference error: ResourceExhausted - request rejected pre-queue: queue at capacity
69,standard,noisy-tenant,standard-traffic,96,5.75,5.750365175306797,0.0003651753067970276,429,rejected,rejected-saturated,,,0.00395379401743412,,0,inference error: ResourceExhausted - request rejected pre-queue: queue at capacity
70,standard,noisy-tenant,standard-traffic,96,5.833333333333333,5.833693563938141,0.00036023060480783187,429,rejected,rejected-saturated,,,0.0036642439663410187,,0,inference error: ResourceExhausted - request rejected pre-queue: queue at capacity
71,standard,noisy-tenant,standard-traffic,96,5.916666666666667,5.917513164225966,0.0008464975592987756,429,rejected,rejected-saturated,,,0.004057203885167837,,0,inference error: ResourceExhausted - request rejected pre-queue: queue at capacity
72,standard,noisy-tenant,standard-traffic,96,6.0,6.0003559230826795,0.0003559230826795101,429,rejected,rejected-saturated,,,0.004418264143168926,,0,inference error: ResourceExhausted - request rejected pre-queue: queue at capacity
73,standard,noisy-tenant,standard-traffic,96,6.083333333333333,6.085271142888814,0.0019378095554811736,429,rejected,rejected-saturated,,,0.003859864082187414,,0,inference error: ResourceExhausted - request rejected pre-queue: queue at capacity
74,standard,noisy-tenant,standard-traffic,96,6.166666666666667,6.169442753307521,0.0027760866408543805,429,rejected,rejected-saturated,,,0.0046106139197945595,,0,inference error: ResourceExhausted - request rejected pre-queue: queue at capacity
75,standard,quiet-tenant,standard-traffic,96,6.25,6.250357320066541,0.00035732006654143333,429,rejected,rejected-saturated,,,0.0038171629421412945,,0,inference error: ResourceExhausted - request rejected pre-queue: queue at capacity
76,standard,noisy-tenant,standard-traffic,96,6.333333333333333,6.333673269022256,0.00033993568892309867,200,completed,,,2.1787668061442673,4.267409622203559,0.02245568468545874,96,
77,standard,noisy-tenant,standard-traffic,96,6.416666666666667,6.417585609015077,0.0009189423484103898,200,completed,,,2.301204371266067,4.382300100289285,0.02236017405045449,96,
78,standard,noisy-tenant,standard-traffic,96,6.5,6.500588137190789,0.0005881371907889843,200,completed,,,2.341474619694054,4.431464986875653,0.022469726205873553,96,
79,standard,noisy-tenant,standard-traffic,96,6.583333333333333,6.583692896179855,0.00035956284652183257,429,rejected,rejected-saturated,,,0.006518255919218063,,0,inference error: ResourceExhausted - request rejected pre-queue: queue at capacity
80,standard,noisy-tenant,standard-traffic,96,6.666666666666667,6.667059385217726,0.0003927185510592679,200,completed,,,2.324073252733797,4.413727608975023,0.022467142752101345,96,
81,standard,noisy-tenant,standard-traffic,96,6.75,6.750335084274411,0.0003350842744112015,429,rejected,rejected-saturated,,,0.0040053739212453365,,0,inference error: ResourceExhausted - request rejected pre-queue: queue at capacity
82,standard,noisy-tenant,standard-traffic,96,6.833333333333333,6.83364116307348,0.00030782974014709197,200,completed,,,2.2331097768619657,4.319407780189067,0.02242801905739852,96,
83,standard,noisy-tenant,standard-traffic,96,6.916666666666667,6.9171415832825005,0.0004749166158335427,200,completed,,,2.2114458149299026,4.30656510591507,0.022523421408628584,96,
84,standard,noisy-tenant,standard-traffic,96,7.0,7.000364691950381,0.00036469195038080215,200,completed,,,2.237635400146246,4.328236726112664,0.022476185223348037,96,
85,standard,quiet-tenant,standard-traffic,96,7.083333333333333,7.083978391252458,0.0006450579191250583,200,completed,,,0.2097904086112976,2.2892091888934374,0.022597183468346688,96,
86,standard,noisy-tenant,standard-traffic,96,7.166666666666667,7.1669945302419364,0.0003278635752694825,200,completed,,,2.1464293827302754,4.229448062833399,0.022385327616125664,96,
87,standard,noisy-tenant,standard-traffic,96,7.25,7.252976580988616,0.0029765809886157513,200,completed,,,2.18598724110052,4.27367404429242,0.022436878944356597,96,
88,standard,noisy-tenant,standard-traffic,96,7.333333333333333,7.33365816809237,0.000324834759036996,200,completed,,,2.177121782209724,4.262153802905232,0.022417068716779513,96,
89,standard,noisy-tenant,standard-traffic,96,7.416666666666667,7.417705337051302,0.0010386703846352319,200,completed,,,2.175303711090237,4.269516960252076,0.02251418052561661,96,
90,standard,noisy-tenant,standard-traffic,96,7.5,7.500349665991962,0.000349665991961956,200,completed,,,2.3262409730814397,4.385489179287106,0.02212957908669787,96,
91,standard,noisy-tenant,standard-traffic,96,7.583333333333333,7.58371332520619,0.0003799918728573104,200,completed,,,2.2461090767756104,4.3240632098168135,0.022338407454631663,96,
92,standard,noisy-tenant,standard-traffic,96,7.666666666666667,7.667080324143171,0.0004136574765043477,200,completed,,,2.2722265608608723,4.358601832762361,0.02242770571241616,96,
93,standard,noisy-tenant,standard-traffic,96,7.75,7.7503828830085695,0.000382883008569479,200,completed,,,2.9379250002093613,5.022874658927321,0.02240525793424377,96,
94,standard,noisy-tenant,standard-traffic,96,7.833333333333333,7.833714932203293,0.0003815988699598094,429,rejected,rejected-saturated,,,0.003915152978152037,,0,inference error: ResourceExhausted - request rejected pre-queue: queue at capacity
95,standard,quiet-tenant,standard-traffic,96,7.916666666666667,7.917739351280034,0.0010726846133666257,429,rejected,rejected-saturated,,,0.0038146539591252804,,0,inference error: ResourceExhausted - request rejected pre-queue: queue at capacity
96,standard,noisy-tenant,standard-traffic,96,8.0,8.000327039975673,0.0003270399756729603,429,rejected,rejected-saturated,,,0.0036229430697858334,,0,inference error: ResourceExhausted - request rejected pre-queue: queue at capacity
97,standard,noisy-tenant,standard-traffic,96,8.083333333333334,8.085545310284942,0.002211976951608463,429,rejected,rejected-saturated,,,0.005800236016511917,,0,inference error: ResourceExhausted - request rejected pre-queue: queue at capacity
98,standard,noisy-tenant,standard-traffic,96,8.166666666666666,8.167022867128253,0.00035620046158690855,429,rejected,rejected-saturated,,,0.0036406139843165874,,0,inference error: ResourceExhausted - request rejected pre-queue: queue at capacity
99,standard,noisy-tenant,standard-traffic,96,8.25,8.251856978051364,0.0018569780513644218,429,rejected,rejected-saturated,,,0.0045798541978001595,,0,inference error: ResourceExhausted - request rejected pre-queue: queue at capacity
100,standard,noisy-tenant,standard-traffic,96,8.333333333333334,8.333851465955377,0.0005181326220426996,429,rejected,rejected-saturated,,,0.007987577002495527,,0,inference error: ResourceExhausted - request rejected pre-queue: queue at capacity
101,standard,noisy-tenant,standard-traffic,96,8.416666666666666,8.41702050389722,0.00035383723055382177,429,rejected,rejected-saturated,,,0.016047106124460697,,0,inference error: ResourceExhausted - request rejected pre-queue: queue at capacity
102,standard,noisy-tenant,standard-traffic,96,8.5,8.500297972932458,0.0002979729324579239,200,completed,,,2.352025246247649,4.429955027066171,0.022340361194144332,96,
103,standard,noisy-tenant,standard-traffic,96,8.583333333333334,8.583637421950698,0.0003040886173639734,200,completed,,,2.177918291185051,4.2571577043272555,0.022345090990946177,96,
104,standard,noisy-tenant,standard-traffic,96,8.666666666666666,8.667212130967528,0.0005454643008615534,200,completed,,,2.3294118139892817,4.41625817399472,0.022436139669509664,96,
105,standard,quiet-tenant,standard-traffic,96,8.75,8.751139691099524,0.001139691099524498,429,rejected,rejected-saturated,,,0.006075796205550432,,0,inference error: ResourceExhausted - request rejected pre-queue: queue at capacity
106,standard,noisy-tenant,standard-traffic,96,8.833333333333334,8.833663308992982,0.00032997565964798525,200,completed,,,2.2981954840943217,4.387124544940889,0.022449660966152786,96,
107,standard,noisy-tenant,standard-traffic,96,8.916666666666666,8.917425508145243,0.0007588414785768549,200,completed,,,2.3217028761282563,4.410346406977624,0.02244965677019409,96,
108,standard,noisy-tenant,standard-traffic,96,9.0,9.00034718727693,0.00034718727692961693,200,completed,,,2.3146499088034034,4.39371195062995,0.02235165968917871,96,
109,standard,noisy-tenant,standard-traffic,96,9.083333333333334,9.083639996126294,0.0003066627929602106,200,completed,,,2.3966296957805753,4.488107689190656,0.022486239281152526,96,
110,standard,noisy-tenant,standard-traffic,96,9.166666666666666,9.16716631501913,0.0004996483524646322,429,rejected,rejected-saturated,,,0.014973624143749475,,0,inference error: ResourceExhausted - request rejected pre-queue: queue at capacity
111,standard,noisy-tenant,standard-traffic,96,9.25,9.250360653270036,0.00036065327003598213,200,completed,,,2.3437895458191633,4.429460363928229,0.02342327974025118,96,
112,standard,noisy-tenant,standard-traffic,96,9.333333333333334,9.333635872229934,0.00030253889659981326,200,completed,,,2.3498823819682,4.435773548670113,0.02242106673938613,96,
113,standard,noisy-tenant,standard-traffic,96,9.416666666666666,9.41705401102081,0.00038734435414333745,200,completed,,,2.3325978852808475,4.419022683054209,0.022427218470482096,96,
114,standard,noisy-tenant,standard-traffic,96,9.5,9.500362810213119,0.0003628102131187916,200,completed,,,2.3381336997263134,4.425633789040148,0.0224278149174987,96,
115,standard,quiet-tenant,standard-traffic,96,9.583333333333334,9.583634429145604,0.00030109581227044657,200,completed,,,0.09861371293663979,2.1901464997790754,0.02247457490152409,96,
116,standard,noisy-tenant,standard-traffic,96,9.666666666666666,9.667045067995787,0.0003784013291205923,200,completed,,,2.3111117742955685,4.367551693227142,0.022107676117210297,96,
117,standard,noisy-tenant,standard-traffic,96,9.75,9.75034174695611,0.0003417469561100006,200,completed,,,2.23180649895221,4.311731270048767,0.022341030850125256,96,
118,standard,noisy-tenant,standard-traffic,96,9.833333333333334,9.833680555224419,0.0003472218910847147,200,completed,,,2.2598819960840046,4.341040668077767,0.022374131846972692,96,
119,standard,noisy-tenant,standard-traffic,96,9.916666666666666,9.917109923902899,0.0004432572362329523,200,completed,,,2.9923615572042763,5.069936944171786,0.022325955226176208,96,
120,standard,noisy-tenant,standard-traffic,96,10.0,10.000368893146515,0.0003688931465148926,429,rejected,rejected-saturated,,,0.01007275003939867,,0,inference error: ResourceExhausted - request rejected pre-queue: queue at capacity
121,standard,noisy-tenant,standard-traffic,96,10.083333333333334,10.083869002293795,0.0005356689604614218,429,rejected,rejected-saturated,,,0.005896295886486769,,0,inference error: ResourceExhausted - request rejected pre-queue: queue at capacity
122,standard,noisy-tenant,standard-traffic,96,10.166666666666666,10.167049141135067,0.0003824744684006731,429,rejected,rejected-saturated,,,0.009608028922230005,,0,inference error: ResourceExhausted - request rejected pre-queue: queue at capacity
